Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.9,820527,48,17094.3,7325.0,4320,275612,41471.4,cuMemcpyDtoDAsync_v2
25.9,463623,67,6919.7,5450.0,3080,54721,6556.5,cuLaunchKernelEx
13.4,238942,44,5430.5,4430.5,3020,35710,4832.0,cuGraphExecMemcpyNodeSetParams
7.0,124340,2,62170.0,62170.0,59180,65160,4228.5,cuGraphLaunch
3.9,70401,8,8800.1,4270.0,1760,29291,10305.9,cuGraphExecKernelNodeSetParams_v2
1.3,23730,1,23730.0,23730.0,23730,23730,0.0,cuLaunchHostFunc
0.9,15570,48,324.4,130.0,110,1970,401.4,cuStreamIsCapturing
0.6,11611,2,5805.5,5805.5,1000,10611,6796.0,cuEventRecord
0.5,8860,1,8860.0,8860.0,8860,8860,0.0,cuProfilerStart
0.3,5930,1,5930.0,5930.0,5930,5930,0.0,cuStreamWaitEvent
0.2,4250,4,1062.5,515.0,210,3010,1315.9,cuCtxSetCurrent
