Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
79.4,12264806285,567000,21631.1,18176.0,17951,2000260,58740.0,CUDA_KERNEL,loop_multiply_fusion_1
5.9,914446720,940410,972.4,768.0,704,1982081,13059.6,CUDA_KERNEL,loop_add_fusion_7
2.9,444937074,488922,910.0,800.0,736,1487171,10550.2,MEMORY_OPER,[CUDA memcpy Device-to-Device]
2.5,387953172,5400,71843.2,61728.0,52064,1626308,101046.9,CUDA_KERNEL,loop_or_select_fusion
2.3,362052783,1350,268187.2,246176.0,244800,1604067,144964.7,CUDA_KERNEL,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.3,199995235,178233,1122.1,992.0,768,1275041,10936.7,CUDA_KERNEL,loop_multiply_fusion
1.3,198269778,6400,30979.7,31360.0,20672,35328,2271.8,CUDA_KERNEL,"stream_executor::gpu::RedzoneAllocatorKernelImpl(unsigned char *, unsigned char, unsigned long, unsigned int *)"
1.1,174136793,174151,999.9,928.0,800,1321249,6490.9,CUDA_KERNEL,loop_subtract_fusion
0.7,104702341,59400,1762.7,1376.0,1088,1577059,21244.7,CUDA_KERNEL,loop_select_fusion_10
0.6,86447796,90990,950.1,768.0,704,1678467,13359.3,CUDA_KERNEL,loop_add_fusion_13
0.5,69795089,1350,51700.1,44576.0,43456,1497922,86953.5,CUDA_KERNEL,void pcrGtsvBatchFirstPass<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
0.3,41525814,2630,15789.3,1952.0,224,1216033,55226.9,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.2,37156454,4295,8651.1,832.0,640,1220066,43567.4,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.1,21200896,4050,5234.8,4863.0,4320,1162819,18621.1,CUDA_KERNEL,wrapped_slice_56
0.1,16732157,11880,1408.4,992.0,928,1234914,20008.5,CUDA_KERNEL,loop_multiply_fusion_9
0.1,13378938,7920,1689.3,1152.0,1088,1255298,23967.0,CUDA_KERNEL,loop_select_fusion_6
0.1,13011158,11610,1120.7,960.0,896,433632,5434.0,CUDA_KERNEL,loop_subtract_fusion_7
0.1,10467700,4050,2584.6,2560.0,2528,7648,118.3,CUDA_KERNEL,wrapped_slice_57
0.1,10197290,7920,1287.5,1344.0,1088,3136,145.0,CUDA_KERNEL,loop_select_fusion_8
0.1,9783656,7920,1235.3,1120.0,1088,421473,5568.3,CUDA_KERNEL,loop_select_fusion_9
0.1,8108088,5415,1497.3,1344.0,928,415808,5639.3,CUDA_KERNEL,loop_divide_fusion
0.0,6308136,2706,2331.2,2912.0,256,8448,1217.0,MEMORY_OPER,[CUDA memset]
0.0,5320645,8,665080.6,664400.5,647969,687457,12075.7,CUDA_KERNEL,loop_add_compare_divide_transpose_fusion
0.0,3692862,270,13677.3,13632.0,12640,16448,509.2,CUDA_KERNEL,input_concatenate_fusion_35
0.0,3129452,4050,772.7,768.0,704,6528,127.4,CUDA_KERNEL,wrapped_slice_55
0.0,2051166,270,7596.9,7584.0,6560,9440,301.8,CUDA_KERNEL,input_concatenate_fusion_54
0.0,2012485,240,8385.4,6720.0,1248,133793,9675.1,CUDA_KERNEL,"stream_executor::gpu::<unnamed>::DelayKernel(volatile stream_executor::GpuSemaphoreState *, stream_executor::GpuSemaphoreState)"
0.0,1837507,388,4735.8,4640.0,992,8512,3006.0,CUDA_KERNEL,"void stream_executor::gpu::xla_fp_comparison<double>(T1 *, T1 *, float, unsigned long, int *)"
0.0,1818642,270,6735.7,6720.0,6303,11136,345.6,CUDA_KERNEL,input_transpose_fusion_78
0.0,1685858,8,210732.3,202480.5,198112,239585,17649.2,CUDA_KERNEL,input_transpose_fusion_66
0.0,1457283,8,182160.4,183904.5,137760,223489,43481.6,CUDA_KERNEL,input_multiply_transpose_fusion
0.0,1430531,180,7947.4,7936.0,7552,8512,187.7,CUDA_KERNEL,input_concatenate_fusion_47
0.0,1379361,762,1810.2,832.0,768,3648,1230.5,CUDA_KERNEL,"stream_executor::gpu::RepeatBufferKernelImpl(char *, long, long)"
0.0,1366594,8,170824.3,167584.0,165376,178304,5845.8,CUDA_KERNEL,loop_select_fusion_19
0.0,1245635,8,155704.4,155376.5,154912,157217,798.0,CUDA_KERNEL,loop_add_multiply_fusion
0.0,1133410,12,94450.8,84848.5,84512,114593,14430.2,CUDA_KERNEL,loop_multiply_fusion_18
0.0,1105249,12,92104.1,82624.0,82528,111936,14041.6,CUDA_KERNEL,loop_multiply_fusion_19
0.0,1095105,8,136888.1,134704.5,131936,143424,5221.4,CUDA_KERNEL,loop_transpose_fusion_7
0.0,949858,8,118732.3,118480.5,118336,119360,422.5,CUDA_KERNEL,loop_transpose_fusion_3
0.0,897153,12,74762.8,93120.0,30592,100513,32667.4,CUDA_KERNEL,input_transpose_fusion_43
0.0,767431,270,2842.3,2847.0,2688,4320,111.4,CUDA_KERNEL,wrapped_slice_50
0.0,750753,8,93844.1,93696.0,92992,94945,768.2,CUDA_KERNEL,loop_add_pad_fusion
0.0,715585,90,7950.9,7904.0,7584,9152,276.0,CUDA_KERNEL,input_concatenate_fusion_53
0.0,683072,9,75896.9,84512.0,2560,86816,27517.6,CUDA_KERNEL,loop_power_fusion
0.0,586656,20,29332.8,24992.0,15616,44800,12838.8,CUDA_KERNEL,loop_divide_subtract_fusion
0.0,583072,8,72884.0,71872.0,70976,75456,1891.1,CUDA_KERNEL,loop_dynamic_update_slice_fusion_130
0.0,560448,8,70056.0,72496.0,53984,82496,13496.9,CUDA_KERNEL,input_add_transpose_fusion_2
0.0,484737,8,60592.1,59552.5,57216,67232,3158.2,CUDA_KERNEL,loop_divide_transpose_fusion
0.0,425344,8,53168.0,51584.0,50880,58848,3299.7,CUDA_KERNEL,loop_dynamic_update_slice_fusion_128
0.0,371265,8,46408.1,44896.0,44320,51040,2815.6,CUDA_KERNEL,loop_dynamic_update_slice_fusion_129
0.0,326688,12,27224.0,25600.0,19744,42080,7284.2,CUDA_KERNEL,input_transpose_fusion_47
0.0,309505,8,38688.1,37280.0,30368,54784,8796.6,CUDA_KERNEL,input_transpose_fusion_65
0.0,272352,12,22696.0,20512.0,19136,31328,4471.1,CUDA_KERNEL,loop_transpose_fusion_5
0.0,233984,8,29248.0,27824.0,24544,36448,5266.9,CUDA_KERNEL,input_transpose_fusion_112
0.0,211392,8,26424.0,25072.0,20192,35200,6684.4,CUDA_KERNEL,input_transpose_fusion_70
0.0,207008,270,766.7,768.0,736,960,32.9,CUDA_KERNEL,wrapped_slice_49
0.0,187872,8,23484.0,23504.0,23264,23776,153.4,CUDA_KERNEL,loop_pad_fusion
0.0,181728,8,22716.0,22912.0,21376,24256,1129.0,CUDA_KERNEL,loop_add_compare_divide_fusion
0.0,169088,270,626.3,608.0,576,1568,60.2,CUDA_KERNEL,wrapped_iota_6
0.0,163425,10,16342.5,17472.0,8384,20160,3119.6,CUDA_KERNEL,input_transpose_fusion_83
0.0,161024,8,20128.0,18288.0,18240,25760,3427.1,CUDA_KERNEL,input_add_fusion
0.0,158560,8,19820.0,18112.0,17824,24832,3100.4,CUDA_KERNEL,loop_add_fusion_35
0.0,156736,8,19592.0,18992.0,18624,22400,1278.7,CUDA_KERNEL,loop_multiply_fusion_16
0.0,154848,4,38712.0,38432.0,37248,40736,1488.2,CUDA_KERNEL,input_transpose_fusion_38
0.0,135168,8,16896.0,15168.0,15136,20608,2431.9,CUDA_KERNEL,loop_divide_slice_fusion_2
0.0,118048,99,1192.4,1024.0,640,2752,566.7,CUDA_KERNEL,wrapped_broadcast
0.0,117152,4,29288.0,29344.0,27360,31104,1945.5,CUDA_KERNEL,input_transpose_fusion_53
0.0,98816,14,7058.3,6704.0,6048,8448,905.3,CUDA_KERNEL,input_transpose_fusion_59
0.0,96384,83,1161.3,1056.0,992,3520,463.5,CUDA_KERNEL,"void stream_executor::gpu::xla_fp_comparison<float>(T1 *, T1 *, float, unsigned long, int *)"
0.0,95584,8,11948.0,11584.0,11552,12832,546.5,CUDA_KERNEL,loop_add_fusion_33
0.0,93440,8,11680.0,9552.0,9472,18208,3942.1,CUDA_KERNEL,loop_add_subtract_transpose_fusion_1
0.0,91552,8,11444.0,11424.0,11360,11680,108.1,CUDA_KERNEL,input_transpose_fusion_76
0.0,86304,10,8630.4,8992.0,6688,10048,1153.7,CUDA_KERNEL,input_transpose_fusion_109
0.0,62624,8,7828.0,7712.0,6272,9600,1654.9,CUDA_KERNEL,input_transpose_fusion_94
0.0,59712,8,7464.0,6272.0,6240,10272,1712.5,CUDA_KERNEL,loop_slice_fusion_36
0.0,59200,6,9866.7,8000.0,7808,19072,4516.8,CUDA_KERNEL,input_transpose_fusion_105
0.0,57408,8,7176.0,7328.0,4352,9760,2210.2,CUDA_KERNEL,input_transpose_fusion_67
0.0,56320,33,1706.7,1024.0,896,4448,1066.8,CUDA_KERNEL,wrapped_convert
0.0,52704,15,3513.6,3520.0,3392,3744,89.0,CUDA_KERNEL,"void stream_executor::gpu::xla_int_comparison<signed char>(T1 *, T1 *, float, unsigned long, int *)"
0.0,50848,8,6356.0,6016.0,5696,7744,846.6,CUDA_KERNEL,input_transpose_fusion_71
0.0,48704,8,6088.0,4096.0,4032,10976,2873.1,CUDA_KERNEL,loop_convert_multiply_subtract_fusion
0.0,46336,6,7722.7,6480.0,6464,10272,1937.8,CUDA_KERNEL,input_transpose_fusion_56
0.0,43968,8,5496.0,4592.0,4544,7904,1334.6,CUDA_KERNEL,loop_divide_multiply_slice_fusion_1
0.0,41344,8,5168.0,5264.0,4608,5472,327.7,CUDA_KERNEL,input_transpose_fusion_101
0.0,39008,4,9752.0,9760.0,9440,10048,342.0,CUDA_KERNEL,input_transpose_fusion_39
0.0,37216,8,4652.0,4304.0,4128,5568,602.8,CUDA_KERNEL,input_transpose_fusion_42
0.0,33984,6,5664.0,5184.0,5120,6720,794.0,CUDA_KERNEL,input_transpose_fusion_89
0.0,28896,21,1376.0,928.0,768,3680,978.3,CUDA_KERNEL,wrapped_add
0.0,28192,8,3524.0,3504.0,3488,3584,43.4,CUDA_KERNEL,loop_add_fusion_34
0.0,27456,12,2288.0,1824.0,1376,4128,1005.1,CUDA_KERNEL,loop_subtract_fusion_5
0.0,26912,25,1076.5,896.0,832,2816,437.4,CUDA_KERNEL,loop_dynamic_slice_fusion
0.0,22944,16,1434.0,832.0,736,3616,1000.7,CUDA_KERNEL,loop_add_fusion
0.0,22592,13,1737.8,1696.0,1600,2016,141.5,CUDA_KERNEL,loop_atan2_fusion
0.0,22496,14,1606.9,1536.0,1472,2176,186.2,CUDA_KERNEL,wrapped_log
0.0,21664,24,902.7,896.0,768,1280,121.6,CUDA_KERNEL,wrapped_dynamic_slice
0.0,20768,8,2596.0,2064.0,2016,4736,945.9,CUDA_KERNEL,loop_dynamic_update_slice_fusion_121
0.0,20224,18,1123.6,832.0,768,3168,708.4,CUDA_KERNEL,wrapped_subtract
0.0,18432,12,1536.0,1424.0,1024,2336,517.1,CUDA_KERNEL,loop_subtract_fusion_4
0.0,17984,12,1498.7,1328.0,864,3712,853.5,CUDA_KERNEL,loop_subtract_fusion_3
0.0,17728,12,1477.3,1296.0,832,3776,871.2,CUDA_KERNEL,loop_subtract_fusion_2
0.0,17280,18,960.0,832.0,768,1856,334.5,CUDA_KERNEL,wrapped_multiply
0.0,15872,14,1133.7,1008.0,928,1856,252.2,CUDA_KERNEL,wrapped_divide
0.0,15232,16,952.0,800.0,736,2112,340.2,CUDA_KERNEL,loop_compare_fusion
0.0,13824,14,987.4,944.0,928,1504,150.5,CUDA_KERNEL,wrapped_sqrt
0.0,12800,2,6400.0,6400.0,6368,6432,45.3,CUDA_KERNEL,input_reduce_fusion
0.0,10112,9,1123.6,896.0,768,2976,698.6,CUDA_KERNEL,loop_select_fusion
0.0,9984,9,1109.3,1024.0,800,1376,208.6,CUDA_KERNEL,loop_minimum_fusion
0.0,7104,8,888.0,896.0,768,960,61.1,CUDA_KERNEL,loop_dynamic_update_slice_fusion
0.0,6464,7,923.4,928.0,864,1024,50.4,CUDA_KERNEL,wrapped_select
0.0,4512,2,2256.0,2256.0,2240,2272,22.6,CUDA_KERNEL,input_reduce_fusion_1
0.0,4128,2,2064.0,2064.0,864,3264,1697.1,CUDA_KERNEL,loop_maximum_fusion
0.0,3776,4,944.0,976.0,800,1024,106.1,CUDA_KERNEL,wrapped_concatenate
0.0,2624,1,2624.0,2624.0,2624,2624,0.0,CUDA_KERNEL,wrapped_abs
0.0,2624,2,1312.0,1312.0,1088,1536,316.8,CUDA_KERNEL,wrapped_asin
0.0,2336,2,1168.0,1168.0,1088,1248,113.1,CUDA_KERNEL,loop_gather_fusion
0.0,2176,1,2176.0,2176.0,2176,2176,0.0,CUDA_KERNEL,wrapped_atan2
0.0,1792,2,896.0,896.0,768,1024,181.0,CUDA_KERNEL,wrapped_and
0.0,1664,2,832.0,832.0,800,864,45.3,CUDA_KERNEL,input_concatenate_fusion
0.0,1600,2,800.0,800.0,768,832,45.3,CUDA_KERNEL,wrapped_or
0.0,1600,2,800.0,800.0,800,800,0.0,CUDA_KERNEL,wrapped_round_nearest_even
0.0,1536,1,1536.0,1536.0,1536,1536,0.0,CUDA_KERNEL,wrapped_negate
0.0,1376,1,1376.0,1376.0,1376,1376,0.0,CUDA_KERNEL,wrapped_exponential
